Fighter,Elo,Opponent,Change
Jon Jones,1125.0,Andre Gusmao,125.0
Jon Jones,1307.01,Stephan Bonnar,182.01
Jon Jones,1420.14,Jake O'Brien,113.13
Jon Jones,1239.49,Matt Hamill,-180.65
Jon Jones,1487.04,Brandon Vera,247.55
Jon Jones,1700.19,Vladimir Matyushenko,213.15
Jon Jones,1827.22,Ryan Bader,127.03
Jon Jones,1923.69,Mauricio Rua,96.47
Jon Jones,2034.8,Quinton Jackson,111.11
Jon Jones,2147.39,Lyoto Machida,112.59
Jon Jones,2264.45,Rashad Evans,117.06
Jon Jones,2359.08,Vitor Belfort,94.63
Jon Jones,2510.57,Chael Sonnen,151.49
Jon Jones,2547.47,Alexander Gustafsson,36.9
Jon Jones,2582.45,Glover Teixeira,34.98
Jon Jones,2613.29,Daniel Cormier,30.84
Jon Jones,2644.52,Ovince Saint Preux,31.23
Jon Jones,2696.73,Alexander Gustafsson,52.21
Jon Jones,2727.69,Anthony Smith,30.96
Jon Jones,2758.49,Thiago Santos,30.8
Jon Jones,2791.5,Dominick Reyes,33.01
Jon Jones,2944.73,Ciryl Gane,153.23
Francis Ngannou,1150.0,Luis Henrique,150.0
Francis Ngannou,1269.49,Curtis Blaydes,119.49
Francis Ngannou,1445.72,Bojan Mihajlovic,176.23
Francis Ngannou,1607.23,Anthony Hamilton,161.51
Francis Ngannou,1861.16,Andrei Arlovski,253.93
Francis Ngannou,2117.33,Alistair Overeem,256.17
Francis Ngannou,2082.03,Stipe Miocic,-35.3
Francis Ngannou,1904.36,Derrick Lewis,-177.67
Francis Ngannou,2071.18,Curtis Blaydes,166.82
Francis Ngannou,2351.9,Cain Velasquez,280.72
Francis Ngannou,2539.57,Junior Dos Santos,187.67
Francis Ngannou,2690.91,Jairzinho Rozenstruik,151.34
Francis Ngannou,2835.79,Stipe Miocic,144.88
Francis Ngannou,2867.33,Ciryl Gane,31.54
Islam Makhachev,1150.0,Leo Kuntz,150.0
Islam Makhachev,970.46,Adriano Martins,-179.54
Islam Makhachev,1159.52,Chris Wade,189.06
Islam Makhachev,1346.41,Nik Lentz,186.89
Islam Makhachev,1541.23,Gleison Tibau,194.82
Islam Makhachev,1734.02,Kajan Johnson,192.79
Islam Makhachev,1786.18,Arman Tsarukyan,52.16
Islam Makhachev,1853.6,Davi Ramos,67.42
Islam Makhachev,1962.23,Drew Dober,108.63
Islam Makhachev,2009.93,Thiago Moises,47.7
Islam Makhachev,2186.85,Dan Hooker,176.92
Islam Makhachev,2340.52,King Green,153.67
Islam Makhachev,2532.05,Charles Oliveira,191.53
Islam Makhachev,2619.44,Alexander Volkanovski,87.39
Islam Makhachev,2810.24,Alexander Volkanovski,190.8
Islam Makhachev,2849.49,Dustin Poirier,39.25
Georges St-Pierre,1171.37,Karo Parisyan,171.37
Georges St-Pierre,1362.11,Jay Hieron,190.74
Georges St-Pierre,1178.81,Matt Hughes,-183.3
Georges St-Pierre,1268.29,Jason Miller,89.48
Georges St-Pierre,1462.42,Frank Trigg,194.13
Georges St-Pierre,1592.69,Sean Sherk,130.27
Georges St-Pierre,1765.28,BJ Penn,172.59
Georges St-Pierre,1986.97,Matt Hughes,221.69
Georges St-Pierre,1688.62,Matt Serra,-298.35
Georges St-Pierre,1843.97,Josh Koscheck,155.35
Georges St-Pierre,2055.92,Matt Hughes,211.95
Georges St-Pierre,2136.93,Matt Serra,81.01
Georges St-Pierre,2196.82,Jon Fitch,59.89
Georges St-Pierre,2261.28,BJ Penn,64.46
Georges St-Pierre,2325.83,Thiago Alves,64.55
Georges St-Pierre,2362.05,Dan Hardy,36.22
Georges St-Pierre,2404.51,Josh Koscheck,42.46
Georges St-Pierre,2434.65,Jake Shields,30.14
Georges St-Pierre,2467.71,Carlos Condit,33.06
Georges St-Pierre,2498.07,Nick Diaz,30.36
Georges St-Pierre,2574.9,Johny Hendricks,76.83
Georges St-Pierre,2638.55,Michael Bisping,63.65
Khabib Nurmagomedov,1114.16,Kamal Shalorus,114.16
Khabib Nurmagomedov,1310.5,Gleison Tibau,196.34
Khabib Nurmagomedov,1561.18,Thiago Tavares,250.68
Khabib Nurmagomedov,1623.2,Abel Trujillo,62.02
Khabib Nurmagomedov,1674.33,Pat Healy,51.13
Khabib Nurmagomedov,1843.18,Rafael Dos Anjos,168.85
Khabib Nurmagomedov,1919.34,Darrell Horcher,76.16
Khabib Nurmagomedov,2018.87,Michael Johnson,99.53
Khabib Nurmagomedov,2129.66,Edson Barboza,110.79
Khabib Nurmagomedov,2183.16,Al Iaquinta,53.5
Khabib Nurmagomedov,2313.7,Conor McGregor,130.54
Khabib Nurmagomedov,2438.15,Dustin Poirier,124.45
Khabib Nurmagomedov,2538.26,Justin Gaethje,100.11
Royce Gracie,1225.0,Art Jimmerson,225.0
Royce Gracie,1450.0,Ken Shamrock,225.0
Royce Gracie,1675.0,Gerard Gordeau,225.0
Royce Gracie,1828.02,Minoki Ichihara,153.02
Royce Gracie,1990.24,Jason DeLucia,162.22
Royce Gracie,2146.65,Remco Pardoel,156.41
Royce Gracie,2301.35,Patrick Smith,154.7
Royce Gracie,2451.43,Kimo Leopoldo,150.08
Royce Gracie,2601.47,Ron van Clief,150.04
Royce Gracie,2751.62,Keith Hackney,150.15
Royce Gracie,2901.7,Dan Severn,150.08
Royce Gracie,2826.73,Ken Shamrock,-74.97
Royce Gracie,2528.66,Matt Hughes,-298.07
Stipe Miocic,1145.48,Joey Beltran,145.48
Stipe Miocic,1368.94,Philip De Fries,223.46
Stipe Miocic,1459.96,Shane del Rosario,91.02
Stipe Miocic,1347.65,Stefan Struve,-112.31
Stipe Miocic,1539.76,Roy Nelson,192.11
Stipe Miocic,1688.5,Gabriel Gonzaga,148.74
Stipe Miocic,1842.55,Fabio Maldonado,154.05
Stipe Miocic,1792.32,Junior Dos Santos,-50.23
Stipe Miocic,1849.29,Mark Hunt,56.97
Stipe Miocic,2144.66,Andrei Arlovski,295.37
Stipe Miocic,2374.85,Fabricio Werdum,230.19
Stipe Miocic,2532.12,Alistair Overeem,157.27
Stipe Miocic,2691.94,Junior Dos Santos,159.82
Stipe Miocic,2727.24,Francis Ngannou,35.3
